Year,Series,Sex,Cobertura,Residencia,Discapacidad,Province,County,Municipality,Units,GeoCode,Value
2018,EU_COV_RGI,Male,TIT,,,,,Zeberio,"Per 1,000 people",Zeberio,18.7
2015,EU_COV_RGI,Male,TIT,,,,,Zeberio,"Per 1,000 people",Zeberio,30.0
2016,EU_COV_RGI,Male,TIT,,,,,Zegama,"Per 1,000 people",Zegama,7.4
2020,EU_COV_RGI,Male,TIT,,,,,Zegama,"Per 1,000 people",Zegama,7.5
2017,EU_COV_RGI,Male,TIT,,,,,Zegama,"Per 1,000 people",Zegama,6.2
2021,EU_COV_RGI,Male,TIT,,,,,Zegama,"Per 1,000 people",Zegama,7.5
2014,EU_COV_RGI,Male,TIT,,,,,Zegama,"Per 1,000 people",Zegama,13.6
2015,EU_COV_RGI,Male,TIT,,,,,Zegama,"Per 1,000 people",Zegama,11.1
2019,EU_COV_RGI,Male,TIT,,,,,Zegama,"Per 1,000 people",Zegama,7.6
2018,EU_COV_RGI,Male,TIT,,,,,Zegama,"Per 1,000 people",Zegama,5.0
2020,EU_COV_RGI,Male,TIT,,,,,Zerain,"Per 1,000 people",Zerain,0.0
2019,EU_COV_RGI,Male,TIT,,,,,Zerain,"Per 1,000 people",Zerain,0.0
2015,EU_COV_RGI,Male,TIT,,,,,Zerain,"Per 1,000 people",Zerain,8.4
2014,EU_COV_RGI,Male,TIT,,,,,Zerain,"Per 1,000 people",Zerain,8.3
2021,EU_COV_RGI,Male,TIT,,,,,Zerain,"Per 1,000 people",Zerain,0.0
2017,EU_COV_RGI,Male,TIT,,,,,Zerain,"Per 1,000 people",Zerain,0.0
2016,EU_COV_RGI,Male,TIT,,,,,Zerain,"Per 1,000 people",Zerain,0.0
2018,EU_COV_RGI,Male,TIT,,,,,Zerain,"Per 1,000 people",Zerain,0.0
2018,EU_COV_RGI,Male,TIT,,,,,Zestoa,"Per 1,000 people",Zestoa,24.5
2015,EU_COV_RGI,Male,TIT,,,,,Zestoa,"Per 1,000 people",Zestoa,29.5
2020,EU_COV_RGI,Male,TIT,,,,,Zestoa,"Per 1,000 people",Zestoa,23.3
2019,EU_COV_RGI,Male,TIT,,,,,Zestoa,"Per 1,000 people",Zestoa,22.6
2017,EU_COV_RGI,Male,TIT,,,,,Zestoa,"Per 1,000 people",Zestoa,25.2
2021,EU_COV_RGI,Male,TIT,,,,,Zestoa,"Per 1,000 people",Zestoa,19.2
2014,EU_COV_RGI,Male,TIT,,,,,Zestoa,"Per 1,000 people",Zestoa,23.0
2016,EU_COV_RGI,Male,TIT,,,,,Zestoa,"Per 1,000 people",Zestoa,29.9
2020,EU_COV_RGI,Male,TIT,,,,,Zierbena,"Per 1,000 people",Zierbena,16.1
2019,EU_COV_RGI,Male,TIT,,,,,Zierbena,"Per 1,000 people",Zierbena,14.9
2021,EU_COV_RGI,Male,TIT,,,,,Zierbena,"Per 1,000 people",Zierbena,17.3
2014,EU_COV_RGI,Male,TIT,,,,,Zierbena,"Per 1,000 people",Zierbena,11.2
2015,EU_COV_RGI,Male,TIT,,,,,Zierbena,"Per 1,000 people",Zierbena,17.6
2017,EU_COV_RGI,Male,TIT,,,,,Zierbena,"Per 1,000 people",Zierbena,11.3
2016,EU_COV_RGI,Male,TIT,,,,,Zierbena,"Per 1,000 people",Zierbena,15.1
2018,EU_COV_RGI,Male,TIT,,,,,Zierbena,"Per 1,000 people",Zierbena,12.7
2017,EU_COV_RGI,Male,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,2.1
2014,EU_COV_RGI,Male,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,7.2
2020,EU_COV_RGI,Male,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,0.0
2016,EU_COV_RGI,Male,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,3.2
2015,EU_COV_RGI,Male,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,2.1
2021,EU_COV_RGI,Male,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,4.1
2018,EU_COV_RGI,Male,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,2.2
2019,EU_COV_RGI,Male,TIT,,,,,Zigoitia,"Per 1,000 people",Zigoitia,1.1
2020,EU_COV_RGI,Male,TIT,,,,,Ziortza-Bolibar,"Per 1,000 people",Ziortza-Bolibar,8.8
2021,EU_COV_RGI,Male,TIT,,,,,Ziortza-Bolibar,"Per 1,000 people",Ziortza-Bolibar,17.6
2015,EU_COV_RGI,Male,TIT,,,,,Ziortza-Bolibar,"Per 1,000 people",Ziortza-Bolibar,4.1
2017,EU_COV_RGI,Male,TIT,,,,,Ziortza-Bolibar,"Per 1,000 people",Ziortza-Bolibar,8.1
2018,EU_COV_RGI,Male,TIT,,,,,Ziortza-Bolibar,"Per 1,000 people",Ziortza-Bolibar,12.6
2014,EU_COV_RGI,Male,TIT,,,,,Ziortza-Bolibar,"Per 1,000 people",Ziortza-Bolibar,8.1
2019,EU_COV_RGI,Male,TIT,,,,,Ziortza-Bolibar,"Per 1,000 people",Ziortza-Bolibar,17.1
2016,EU_COV_RGI,Male,TIT,,,,,Ziortza-Bolibar,"Per 1,000 people",Ziortza-Bolibar,8.2
2014,EU_COV_RGI,Male,TIT,,,,,Zizurkil,"Per 1,000 people",Zizurkil,23.0
2021,EU_COV_RGI,Male,TIT,,,,,Zizurkil,"Per 1,000 people",Zizurkil,16.3
2015,EU_COV_RGI,Male,TIT,,,,,Zizurkil,"Per 1,000 people",Zizurkil,22.5
2020,EU_COV_RGI,Male,TIT,,,,,Zizurkil,"Per 1,000 people",Zizurkil,17.6
2016,EU_COV_RGI,Male,TIT,,,,,Zizurkil,"Per 1,000 people",Zizurkil,17.4
2018,EU_COV_RGI,Male,TIT,,,,,Zizurkil,"Per 1,000 people",Zizurkil,17.9
2017,EU_COV_RGI,Male,TIT,,,,,Zizurkil,"Per 1,000 people",Zizurkil,18.1
2019,EU_COV_RGI,Male,TIT,,,,,Zizurkil,"Per 1,000 people",Zizurkil,20.4
2018,EU_COV_RGI,Male,TIT,,,,,Zuia,"Per 1,000 people",Zuia,6.6
2016,EU_COV_RGI,Male,TIT,,,,,Zuia,"Per 1,000 people",Zuia,9.0
2020,EU_COV_RGI,Male,TIT,,,,,Zuia,"Per 1,000 people",Zuia,8.1
2015,EU_COV_RGI,Male,TIT,,,,,Zuia,"Per 1,000 people",Zuia,7.2
2021,EU_COV_RGI,Male,TIT,,,,,Zuia,"Per 1,000 people",Zuia,9.7
2019,EU_COV_RGI,Male,TIT,,,,,Zuia,"Per 1,000 people",Zuia,6.6
2017,EU_COV_RGI,Male,TIT,,,,,Zuia,"Per 1,000 people",Zuia,7.4
2014,EU_COV_RGI,Male,TIT,,,,,Zuia,"Per 1,000 people",Zuia,5.6
2021,EU_COV_RGI,Male,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,9.1
2014,EU_COV_RGI,Male,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,12.9
2019,EU_COV_RGI,Male,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,10.9
2018,EU_COV_RGI,Male,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,12.3
2017,EU_COV_RGI,Male,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,13.8
2020,EU_COV_RGI,Male,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,10.5
2015,EU_COV_RGI,Male,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,14.5
2016,EU_COV_RGI,Male,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,14.9
2016,EU_COV_RGI,Male,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,19.6
2014,EU_COV_RGI,Male,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,18.4
2015,EU_COV_RGI,Male,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,18.4
2018,EU_COV_RGI,Male,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,19.9
2021,EU_COV_RGI,Male,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,23.1
2019,EU_COV_RGI,Male,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,21.9
2017,EU_COV_RGI,Male,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,18.8
2020,EU_COV_RGI,Male,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,22.5
2020,EU_COV_RGI,Male,TIT,,,,ES0101,,"Per 1,000 people",ES0101,13.5
2016,EU_COV_RGI,Male,TIT,,,,ES0101,,"Per 1,000 people",ES0101,13.6
2017,EU_COV_RGI,Male,TIT,,,,ES0101,,"Per 1,000 people",ES0101,12.3
2021,EU_COV_RGI,Male,TIT,,,,ES0101,,"Per 1,000 people",ES0101,14.9
2014,EU_COV_RGI,Male,TIT,,,,ES0101,,"Per 1,000 people",ES0101,14.4
2015,EU_COV_RGI,Male,TIT,,,,ES0101,,"Per 1,000 people",ES0101,13.2
2018,EU_COV_RGI,Male,TIT,,,,ES0101,,"Per 1,000 people",ES0101,11.7
2019,EU_COV_RGI,Male,TIT,,,,ES0101,,"Per 1,000 people",ES0101,12.2
2016,EU_COV_RGI,Male,TIT,,,,ES0104,,"Per 1,000 people",ES0104,31.3
2021,EU_COV_RGI,Male,TIT,,,,ES0104,,"Per 1,000 people",ES0104,28.1
2014,EU_COV_RGI,Male,TIT,,,,ES0104,,"Per 1,000 people",ES0104,28.8
2017,EU_COV_RGI,Male,TIT,,,,ES0104,,"Per 1,000 people",ES0104,33.2
2019,EU_COV_RGI,Male,TIT,,,,ES0104,,"Per 1,000 people",ES0104,26.5
2020,EU_COV_RGI,Male,TIT,,,,ES0104,,"Per 1,000 people",ES0104,30.1
2015,EU_COV_RGI,Male,TIT,,,,ES0104,,"Per 1,000 people",ES0104,27.8
2018,EU_COV_RGI,Male,TIT,,,,ES0104,,"Per 1,000 people",ES0104,32.0
2019,EU_COV_RGI,Male,TIT,,,,ES0106,,"Per 1,000 people",ES0106,16.4
2017,EU_COV_RGI,Male,TIT,,,,ES0106,,"Per 1,000 people",ES0106,19.4
2021,EU_COV_RGI,Male,TIT,,,,ES0106,,"Per 1,000 people",ES0106,16.2
2018,EU_COV_RGI,Male,TIT,,,,ES0106,,"Per 1,000 people",ES0106,17.5
2015,EU_COV_RGI,Male,TIT,,,,ES0106,,"Per 1,000 people",ES0106,22.4
2020,EU_COV_RGI,Male,TIT,,,,ES0106,,"Per 1,000 people",ES0106,17.5
2014,EU_COV_RGI,Male,TIT,,,,ES0106,,"Per 1,000 people",ES0106,24.1
2016,EU_COV_RGI,Male,TIT,,,,ES0106,,"Per 1,000 people",ES0106,20.4
2017,EU_COV_RGI,Male,TIT,,,,ES0102,,"Per 1,000 people",ES0102,28.0
2019,EU_COV_RGI,Male,TIT,,,,ES0102,,"Per 1,000 people",ES0102,23.6
2014,EU_COV_RGI,Male,TIT,,,,ES0102,,"Per 1,000 people",ES0102,33.8
2018,EU_COV_RGI,Male,TIT,,,,ES0102,,"Per 1,000 people",ES0102,24.7
2015,EU_COV_RGI,Male,TIT,,,,ES0102,,"Per 1,000 people",ES0102,32.7
2016,EU_COV_RGI,Male,TIT,,,,ES0102,,"Per 1,000 people",ES0102,31.9
2020,EU_COV_RGI,Male,TIT,,,,ES0102,,"Per 1,000 people",ES0102,25.3
2021,EU_COV_RGI,Male,TIT,,,,ES0102,,"Per 1,000 people",ES0102,25.6
2019,EU_COV_RGI,Male,TIT,,,,ES0103,,"Per 1,000 people",ES0103,7.1
2017,EU_COV_RGI,Male,TIT,,,,ES0103,,"Per 1,000 people",ES0103,7.7
2020,EU_COV_RGI,Male,TIT,,,,ES0103,,"Per 1,000 people",ES0103,10.2
2015,EU_COV_RGI,Male,TIT,,,,ES0103,,"Per 1,000 people",ES0103,14.4
2014,EU_COV_RGI,Male,TIT,,,,ES0103,,"Per 1,000 people",ES0103,12.5
2016,EU_COV_RGI,Male,TIT,,,,ES0103,,"Per 1,000 people",ES0103,13.1
2021,EU_COV_RGI,Male,TIT,,,,ES0103,,"Per 1,000 people",ES0103,10.2
2018,EU_COV_RGI,Male,TIT,,,,ES0103,,"Per 1,000 people",ES0103,9.0
2021,EU_COV_RGI,Male,TIT,,,,ES4801,,"Per 1,000 people",ES4801,18.3
2015,EU_COV_RGI,Male,TIT,,,,ES4801,,"Per 1,000 people",ES4801,22.6
2019,EU_COV_RGI,Male,TIT,,,,ES4801,,"Per 1,000 people",ES4801,16.2
2016,EU_COV_RGI,Male,TIT,,,,ES4801,,"Per 1,000 people",ES4801,20.7
2020,EU_COV_RGI,Male,TIT,,,,ES4801,,"Per 1,000 people",ES4801,18.2
2017,EU_COV_RGI,Male,TIT,,,,ES4801,,"Per 1,000 people",ES4801,19.6
2014,EU_COV_RGI,Male,TIT,,,,ES4801,,"Per 1,000 people",ES4801,21.3
2018,EU_COV_RGI,Male,TIT,,,,ES4801,,"Per 1,000 people",ES4801,16.4
2014,EU_COV_RGI,Male,TIT,,,,ES2001,,"Per 1,000 people",ES2001,16.4
2016,EU_COV_RGI,Male,TIT,,,,ES2001,,"Per 1,000 people",ES2001,17.2
2018,EU_COV_RGI,Male,TIT,,,,ES2001,,"Per 1,000 people",ES2001,14.0
2017,EU_COV_RGI,Male,TIT,,,,ES2001,,"Per 1,000 people",ES2001,16.1
2015,EU_COV_RGI,Male,TIT,,,,ES2001,,"Per 1,000 people",ES2001,17.1
2021,EU_COV_RGI,Male,TIT,,,,ES2001,,"Per 1,000 people",ES2001,15.7
2019,EU_COV_RGI,Male,TIT,,,,ES2001,,"Per 1,000 people",ES2001,14.0
2020,EU_COV_RGI,Male,TIT,,,,ES2001,,"Per 1,000 people",ES2001,15.8
2021,EU_COV_RGI,Male,TIT,,,,ES4802,,"Per 1,000 people",ES4802,25.9
2020,EU_COV_RGI,Male,TIT,,,,ES4802,,"Per 1,000 people",ES4802,26.6
2014,EU_COV_RGI,Male,TIT,,,,ES4802,,"Per 1,000 people",ES4802,32.4
2017,EU_COV_RGI,Male,TIT,,,,ES4802,,"Per 1,000 people",ES4802,31.0
2016,EU_COV_RGI,Male,TIT,,,,ES4802,,"Per 1,000 people",ES4802,32.7
2015,EU_COV_RGI,Male,TIT,,,,ES4802,,"Per 1,000 people",ES4802,32.8
2019,EU_COV_RGI,Male,TIT,,,,ES4802,,"Per 1,000 people",ES4802,25.9
2018,EU_COV_RGI,Male,TIT,,,,ES4802,,"Per 1,000 people",ES4802,28.1
2020,EU_COV_RGI,Male,TIT,,,,ES2002,,"Per 1,000 people",ES2002,25.5
2018,EU_COV_RGI,Male,TIT,,,,ES2002,,"Per 1,000 people",ES2002,24.6
2016,EU_COV_RGI,Male,TIT,,,,ES2002,,"Per 1,000 people",ES2002,30.0
2021,EU_COV_RGI,Male,TIT,,,,ES2002,,"Per 1,000 people",ES2002,22.8
2014,EU_COV_RGI,Male,TIT,,,,ES2002,,"Per 1,000 people",ES2002,28.2
2015,EU_COV_RGI,Male,TIT,,,,ES2002,,"Per 1,000 people",ES2002,29.9
2019,EU_COV_RGI,Male,TIT,,,,ES2002,,"Per 1,000 people",ES2002,23.3
2017,EU_COV_RGI,Male,TIT,,,,ES2002,,"Per 1,000 people",ES2002,27.1
2019,EU_COV_RGI,Male,TIT,,,,ES2003,,"Per 1,000 people",ES2003,10.8
2020,EU_COV_RGI,Male,TIT,,,,ES2003,,"Per 1,000 people",ES2003,11.7
2017,EU_COV_RGI,Male,TIT,,,,ES2003,,"Per 1,000 people",ES2003,15.9
2021,EU_COV_RGI,Male,TIT,,,,ES2003,,"Per 1,000 people",ES2003,13.0
2014,EU_COV_RGI,Male,TIT,,,,ES2003,,"Per 1,000 people",ES2003,16.5
2015,EU_COV_RGI,Male,TIT,,,,ES2003,,"Per 1,000 people",ES2003,16.1
2018,EU_COV_RGI,Male,TIT,,,,ES2003,,"Per 1,000 people",ES2003,13.5
2016,EU_COV_RGI,Male,TIT,,,,ES2003,,"Per 1,000 people",ES2003,17.2
2021,EU_COV_RGI,Male,TIT,,,,ES2004,,"Per 1,000 people",ES2004,16.0
2017,EU_COV_RGI,Male,TIT,,,,ES2004,,"Per 1,000 people",ES2004,18.4
2014,EU_COV_RGI,Male,TIT,,,,ES2004,,"Per 1,000 people",ES2004,19.3
2015,EU_COV_RGI,Male,TIT,,,,ES2004,,"Per 1,000 people",ES2004,19.1
2020,EU_COV_RGI,Male,TIT,,,,ES2004,,"Per 1,000 people",ES2004,16.2
2019,EU_COV_RGI,Male,TIT,,,,ES2004,,"Per 1,000 people",ES2004,15.1
2016,EU_COV_RGI,Male,TIT,,,,ES2004,,"Per 1,000 people",ES2004,19.5
2018,EU_COV_RGI,Male,TIT,,,,ES2004,,"Per 1,000 people",ES2004,16.2
2019,EU_COV_RGI,Male,TIT,,,,ES4803,,"Per 1,000 people",ES4803,14.6
2014,EU_COV_RGI,Male,TIT,,,,ES4803,,"Per 1,000 people",ES4803,19.4
2017,EU_COV_RGI,Male,TIT,,,,ES4803,,"Per 1,000 people",ES4803,18.4
2020,EU_COV_RGI,Male,TIT,,,,ES4803,,"Per 1,000 people",ES4803,16.0
2018,EU_COV_RGI,Male,TIT,,,,ES4803,,"Per 1,000 people",ES4803,15.2
2016,EU_COV_RGI,Male,TIT,,,,ES4803,,"Per 1,000 people",ES4803,19.9
2015,EU_COV_RGI,Male,TIT,,,,ES4803,,"Per 1,000 people",ES4803,20.6
2021,EU_COV_RGI,Male,TIT,,,,ES4803,,"Per 1,000 people",ES4803,15.5
2015,EU_COV_RGI,Male,TIT,,,,ES4804,,"Per 1,000 people",ES4804,36.7
2014,EU_COV_RGI,Male,TIT,,,,ES4804,,"Per 1,000 people",ES4804,34.9
2021,EU_COV_RGI,Male,TIT,,,,ES4804,,"Per 1,000 people",ES4804,28.7
2016,EU_COV_RGI,Male,TIT,,,,ES4804,,"Per 1,000 people",ES4804,36.5
2020,EU_COV_RGI,Male,TIT,,,,ES4804,,"Per 1,000 people",ES4804,30.3
2017,EU_COV_RGI,Male,TIT,,,,ES4804,,"Per 1,000 people",ES4804,34.3
2018,EU_COV_RGI,Male,TIT,,,,ES4804,,"Per 1,000 people",ES4804,33.0
2019,EU_COV_RGI,Male,TIT,,,,ES4804,,"Per 1,000 people",ES4804,29.2
2016,EU_COV_RGI,Male,TIT,,,,ES4805,,"Per 1,000 people",ES4805,21.6
2021,EU_COV_RGI,Male,TIT,,,,ES4805,,"Per 1,000 people",ES4805,16.3
2018,EU_COV_RGI,Male,TIT,,,,ES4805,,"Per 1,000 people",ES4805,18.9
2020,EU_COV_RGI,Male,TIT,,,,ES4805,,"Per 1,000 people",ES4805,16.9
2014,EU_COV_RGI,Male,TIT,,,,ES4805,,"Per 1,000 people",ES4805,25.3
2015,EU_COV_RGI,Male,TIT,,,,ES4805,,"Per 1,000 people",ES4805,23.9
2019,EU_COV_RGI,Male,TIT,,,,ES4805,,"Per 1,000 people",ES4805,17.8
2017,EU_COV_RGI,Male,TIT,,,,ES4805,,"Per 1,000 people",ES4805,19.9
2016,EU_COV_RGI,Male,TIT,,,,ES2005,,"Per 1,000 people",ES2005,14.3
2019,EU_COV_RGI,Male,TIT,,,,ES2005,,"Per 1,000 people",ES2005,12.3
2020,EU_COV_RGI,Male,TIT,,,,ES2005,,"Per 1,000 people",ES2005,13.6
2021,EU_COV_RGI,Male,TIT,,,,ES2005,,"Per 1,000 people",ES2005,14.1
2015,EU_COV_RGI,Male,TIT,,,,ES2005,,"Per 1,000 people",ES2005,13.4
2017,EU_COV_RGI,Male,TIT,,,,ES2005,,"Per 1,000 people",ES2005,13.1
2014,EU_COV_RGI,Male,TIT,,,,ES2005,,"Per 1,000 people",ES2005,13.9
2018,EU_COV_RGI,Male,TIT,,,,ES2005,,"Per 1,000 people",ES2005,12.9
2014,EU_COV_RGI,Male,TIT,,,,ES0105,,"Per 1,000 people",ES0105,9.9
2020,EU_COV_RGI,Male,TIT,,,,ES0105,,"Per 1,000 people",ES0105,13.6
2016,EU_COV_RGI,Male,TIT,,,,ES0105,,"Per 1,000 people",ES0105,14.2
2017,EU_COV_RGI,Male,TIT,,,,ES0105,,"Per 1,000 people",ES0105,12.8
2019,EU_COV_RGI,Male,TIT,,,,ES0105,,"Per 1,000 people",ES0105,12.5
2018,EU_COV_RGI,Male,TIT,,,,ES0105,,"Per 1,000 people",ES0105,13.6
2015,EU_COV_RGI,Male,TIT,,,,ES0105,,"Per 1,000 people",ES0105,10.6
2021,EU_COV_RGI,Male,TIT,,,,ES0105,,"Per 1,000 people",ES0105,15.2
2020,EU_COV_RGI,Male,TIT,,,,ES4806,,"Per 1,000 people",ES4806,16.2
2021,EU_COV_RGI,Male,TIT,,,,ES4806,,"Per 1,000 people",ES4806,16.7
2018,EU_COV_RGI,Male,TIT,,,,ES4806,,"Per 1,000 people",ES4806,19.1
2016,EU_COV_RGI,Male,TIT,,,,ES4806,,"Per 1,000 people",ES4806,23.4
2015,EU_COV_RGI,Male,TIT,,,,ES4806,,"Per 1,000 people",ES4806,27.7
2017,EU_COV_RGI,Male,TIT,,,,ES4806,,"Per 1,000 people",ES4806,19.2
2019,EU_COV_RGI,Male,TIT,,,,ES4806,,"Per 1,000 people",ES4806,15.8
2014,EU_COV_RGI,Male,TIT,,,,ES4806,,"Per 1,000 people",ES4806,27.4
2015,EU_COV_RGI,Male,TIT,,,,ES4807,,"Per 1,000 people",ES4807,20.0
2016,EU_COV_RGI,Male,TIT,,,,ES4807,,"Per 1,000 people",ES4807,20.1
2019,EU_COV_RGI,Male,TIT,,,,ES4807,,"Per 1,000 people",ES4807,15.8
2017,EU_COV_RGI,Male,TIT,,,,ES4807,,"Per 1,000 people",ES4807,19.0
2020,EU_COV_RGI,Male,TIT,,,,ES4807,,"Per 1,000 people",ES4807,16.3
2018,EU_COV_RGI,Male,TIT,,,,ES4807,,"Per 1,000 people",ES4807,16.4
2014,EU_COV_RGI,Male,TIT,,,,ES4807,,"Per 1,000 people",ES4807,20.7
2021,EU_COV_RGI,Male,TIT,,,,ES4807,,"Per 1,000 people",ES4807,15.3
2015,EU_COV_RGI,Male,TIT,,,,ES2006,,"Per 1,000 people",ES2006,20.4
2018,EU_COV_RGI,Male,TIT,,,,ES2006,,"Per 1,000 people",ES2006,15.8
2019,EU_COV_RGI,Male,TIT,,,,ES2006,,"Per 1,000 people",ES2006,14.4
2020,EU_COV_RGI,Male,TIT,,,,ES2006,,"Per 1,000 people",ES2006,15.1
2021,EU_COV_RGI,Male,TIT,,,,ES2006,,"Per 1,000 people",ES2006,13.7
2017,EU_COV_RGI,Male,TIT,,,,ES2006,,"Per 1,000 people",ES2006,17.0
2014,EU_COV_RGI,Male,TIT,,,,ES2006,,"Per 1,000 people",ES2006,19.5
2016,EU_COV_RGI,Male,TIT,,,,ES2006,,"Per 1,000 people",ES2006,19.1
2021,EU_COV_RGI,Male,TIT,,,,ES2007,,"Per 1,000 people",ES2007,11.4
2019,EU_COV_RGI,Male,TIT,,,,ES2007,,"Per 1,000 people",ES2007,12.1
2016,EU_COV_RGI,Male,TIT,,,,ES2007,,"Per 1,000 people",ES2007,16.2
2020,EU_COV_RGI,Male,TIT,,,,ES2007,,"Per 1,000 people",ES2007,13.3
2017,EU_COV_RGI,Male,TIT,,,,ES2007,,"Per 1,000 people",ES2007,14.7
2014,EU_COV_RGI,Male,TIT,,,,ES2007,,"Per 1,000 people",ES2007,15.9
2015,EU_COV_RGI,Male,TIT,,,,ES2007,,"Per 1,000 people",ES2007,15.7
2018,EU_COV_RGI,Male,TIT,,,,ES2007,,"Per 1,000 people",ES2007,13.1
2015,EU_COV_RGI,Male,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,30.2
2021,EU_COV_RGI,Male,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,24.0
2019,EU_COV_RGI,Male,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,22.2
2018,EU_COV_RGI,Male,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,23.4
2020,EU_COV_RGI,Male,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,23.9
2017,EU_COV_RGI,Male,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,26.3
2014,EU_COV_RGI,Male,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,31.3
2016,EU_COV_RGI,Male,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,29.5
2021,EU_COV_RGI,Male,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,23.7
2018,EU_COV_RGI,Male,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,25.6
2020,EU_COV_RGI,Male,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,24.4
2016,EU_COV_RGI,Male,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,30.1
2019,EU_COV_RGI,Male,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,23.7
2017,EU_COV_RGI,Male,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,28.4
2014,EU_COV_RGI,Male,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,30.1
2015,EU_COV_RGI,Male,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,30.5
2014,EU_COV_RGI,Male,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,18.5
2021,EU_COV_RGI,Male,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,15.4
2018,EU_COV_RGI,Male,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,15.7
2017,EU_COV_RGI,Male,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,17.6
2020,EU_COV_RGI,Male,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,15.8
2019,EU_COV_RGI,Male,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,14.6
2016,EU_COV_RGI,Male,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,19.0
2015,EU_COV_RGI,Male,TIT,,,Gipuzkoa,,,"Per 1,000 people",Gipuzkoa,18.6
2019,EU_COV_RGI,Male,BEN,,,,,,"Per 1,000 people",,21.2
2023,EU_COV_RGI,Male,BEN,,,,,,"Per 1,000 people",,23.7
2020,EU_COV_RGI,Male,BEN,,,,,,"Per 1,000 people",,21.2
2022,EU_COV_RGI,Male,BEN,,,,,,"Per 1,000 people",,24.9
2021,EU_COV_RGI,Male,BEN,,,,,,"Per 1,000 people",,22.2
2015,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,13.7
2013,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,9.8
2014,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,13.3
2020,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,13.9
2016,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,13.3
2021,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,13.5
2018,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,13.4
2010,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,10.1
2019,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,13.1
2017,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,13.6
2012,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,9.9
2011,EU_COV_AES,,TIT,,,,,,"Per 1,000 people",,8.4
2013,EU_COV_AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,4.3
2020,EU_COV_AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,8.7
